periodo,tipo,modificador,veces,renglones,unidades_afectadas
2025-12,VARIANTE,Escuis Hierro,8,8,9.00
2025-12,VARIANTE,Escuis Manzana,12,12,14.00
2025-12,VARIANTE,Escuis Piña,9,9,12.00
2025-12,VARIANTE,Fanta,3,3,3.00
2025-12,VARIANTE,Fresca,3,3,3.00
2025-12,VARIANTE,Leche Aparte,24,24,58.00
2025-12,VARIANTE,Lechera,16,16,21.00
2025-12,VARIANTE,Lechero,20,20,33.00
2025-12,VARIANTE,Mantequilla,29,29,134.00
2025-12,VARIANTE,Medio,7,7,8.00
2025-12,VARIANTE,Mermelada de Fresa,1,1,1.00
2025-12,VARIANTE,Migada Delgada,5,5,5.00
2025-12,VARIANTE,Natural,4,4,4.00
2025-12,VARIANTE,Naturales,7,7,7.00
2025-12,VARIANTE,Normal,60,60,1471.00
2025-12,VARIANTE,Pan Grande Pieza,30,30,140.00
2025-12,VARIANTE,Poca leche,25,25,50.00
2025-12,VARIANTE,Sprite,11,11,14.00
2025-12,VARIANTE,Tierno,3,3,4.00
2025-12,VARIANTE,Valle Frut,11,11,12.00
2026-01,EXTRA,Bistec (1 pza.),115,115,146.00
2026-01,EXTRA,Doble Guiso,7,7,7.00
2026-01,EXTRA,Frijoles,37,36,45.00
2026-01,EXTRA,Huevo Estrellado Ciego (2 pzas.),9,9,10.00
2026-01,EXTRA,Huevo Estrellado Cocido (2 pzas.),41,41,44.00
2026-01,EXTRA,Huevo Estrellado Medio (2 pzas.),40,40,40.00
2026-01,EXTRA,Huevo Estrellado Tierno (2 pzas.),34,34,40.00
2026-01,EXTRA,Huevo Revuelto (2 pzas.),72,72,88.00
2026-01,EXTRA,Huevo Revuelto (p/relleno),37,37,38.00
2026-01,EXTRA,Queso,55,41,44.00
2026-01,EXTRA,Queso Extra Pieza,12,5,5.00
2026-01,EXTRA,Relleno de Guisados,63,63,64.00
2026-01,PETICION,Doradita,20,20,28.00
2026-01,PETICION,En dos platos,8,8,8.00
2026-01,PETICION,Escurrida,42,42,97.00
2026-01,PETICION,Frijoles Aparte,7,7,7.00
2026-01,PETICION,Poca Lechuga,35,35,36.00
2026-01,PETICION,Poco Frijol,3,3,3.00
2026-01,PETICION,Sin Aguacate,43,43,43.00
2026-01,PETICION,Sin Crema,140,140,145.00
2026-01,PETICION,Sin Frijoles,12,12,12.00
2026-01,PETICION,Sin Lechuga,59,59,61.00
2026-01,PETICION,Sin Queso,14,14,14.00
2026-01,PETICION,Sin Tomate,77,77,78.00
2026-01,PETICION,Sin Verduras,43,43,45.00
2026-01,PETICION,Verdura Aparte,9,9,9.00
2026-01,VARIANTE,Ciego,1,1,1.00
2026-01,VARIANTE,Coca Cola,57,57,237.00
2026-01,VARIANTE,Coca Cola Sin Azúcar,30,30,102.00
2026-01,VARIANTE,Coca Light,24,24,47.00
2026-01,VARIANTE,Cocido,3,3,4.00
2026-01,VARIANTE,Crema,12,12,14.00
2026-01,VARIANTE,Delaware,10,10,11.00
2026-01,VARIANTE,Diluido con Agua,4,4,8.00
2026-01,VARIANTE,Escuis Fresa,9,9,9.00
2026-01,VARIANTE,Escuis Hierro,5,5,5.00
2026-01,VARIANTE,Escuis Manzana,7,7,7.00
2026-01,VARIANTE,Escuis Piña,8,8,8.00
2026-01,VARIANTE,Fanta,3,3,3.00
2026-01,VARIANTE,Fresca,3,3,4.00
2026-01,VARIANTE,Leche Aparte,19,19,40.00
2026-01,VARIANTE,Lechera,12,12,16.00
2026-01,VARIANTE,Lechero,16,16,39.00
2026-01,VARIANTE,Mantequilla,29,29,119.00
2026-01,VARIANTE,Medio,6,6,6.00
2026-01,VARIANTE,Mermelada de Fresa,1,1,1.00
2026-01,VARIANTE,Migada Delgada,5,5,5.00
2026-01,VARIANTE,Natural,2,2,2.00
2026-01,VARIANTE,Naturales,5,5,5.00
2026-01,VARIANTE,Normal,60,60,1341.00
2026-01,VARIANTE,Pan Grande Pieza,30,30,128.00
2026-01,VARIANTE,Poca leche,14,14,21.00
2026-01,VARIANTE,Sprite,3,3,3.00
2026-01,VARIANTE,Tierno,3,3,3.00
2026-01,VARIANTE,Valle Frut,3,3,5.00
2026-02,EXTRA,Bistec (1 pza.),113,113,130.00
2026-02,EXTRA,Chorizo,1,1,1.00
2026-02,EXTRA,Doble Guiso,5,5,5.00
2026-02,EXTRA,Frijoles,34,33,45.00
2026-02,EXTRA,Huevo Estrellado Ciego (2 pzas.),4,4,4.00
2026-02,EXTRA,Huevo Estrellado Cocido (2 pzas.),35,35,37.00
2026-02,EXTRA,Huevo Estrellado Medio (2 pzas.),36,36,42.00
2026-02,EXTRA,Huevo Estrellado Tierno (2 pzas.),33,33,33.00
2026-02,EXTRA,Huevo Revuelto (2 pzas.),41,41,46.00
2026-02,EXTRA,Huevo Revuelto (p/relleno),36,36,41.00
2026-02,EXTRA,Queso,65,53,63.00
2026-02,EXTRA,Queso Extra Pieza,24,11,11.00
2026-02,EXTRA,Relleno de Guisados,73,73,74.00
2026-02,PETICION,Doradita,62,62,104.00
2026-02,PETICION,En dos platos,17,17,17.00
2026-02,PETICION,Escurrida,57,56,129.00
2026-02,PETICION,Frijoles Aparte,4,4,4.00
2026-02,PETICION,Poca Lechuga,24,24,24.00
2026-02,PETICION,Poco Frijol,2,2,2.00
2026-02,PETICION,Sin Aguacate,42,42,42.00
2026-02,PETICION,Sin Crema,140,140,145.00
2026-02,PETICION,Sin Frijoles,18,18,18.00
2026-02,PETICION,Sin Lechuga,48,48,51.00
2026-02,PETICION,Sin Queso,15,15,15.00
2026-02,PETICION,Sin Tomate,62,62,63.00
2026-02,PETICION,Sin Verduras,22,22,25.00
2026-02,PETICION,Verdura Aparte,7,7,7.00
2026-02,VARIANTE,Bocol delgado,5,5,8.00
2026-02,VARIANTE,Ciego,1,1,1.00
2026-02,VARIANTE,Coca Cola,50,50,205.00
2026-02,VARIANTE,Coca Cola Sin Azúcar,38,38,134.00
2026-02,VARIANTE,Coca Light,25,25,55.00
2026-02,VARIANTE,Cocido,5,5,5.00
2026-02,VARIANTE,Crema,11,11,15.00
2026-02,VARIANTE,Delaware,9,9,11.00
2026-02,VARIANTE,Diluido con Agua,1,1,1.00
2026-02,VARIANTE,Escuis Fresa,6,6,8.00
2026-02,VARIANTE,Escuis Hierro,5,5,6.00
2026-02,VARIANTE,Escuis Manzana,9,9,12.00
2026-02,VARIANTE,Escuis Piña,6,6,11.00
2026-02,VARIANTE,Fanta,1,1,1.00
2026-02,VARIANTE,Fresca,2,2,2.00
2026-02,VARIANTE,Leche Aparte,18,18,35.00
2026-02,VARIANTE,Lechera,5,5,9.00
2026-02,VARIANTE,Lechero,13,13,29.00
2026-02,VARIANTE,Mantequilla,28,28,115.00
2026-02,VARIANTE,Medio,6,6,6.00
