fecha,tipo,modificador,veces,renglones,unidades_afectadas
2026-03-11,VARIANTE,Coca Cola Sin Azúcar,1,1,3.00
2026-03-11,VARIANTE,Coca Light,1,1,5.00
2026-03-11,VARIANTE,Crema,1,1,1.00
2026-03-11,VARIANTE,Escuis Fresa,1,1,1.00
2026-03-11,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-11,VARIANTE,Fanta,1,1,1.00
2026-03-11,VARIANTE,Leche Aparte,1,1,1.00
2026-03-11,VARIANTE,Lechera,1,1,1.00
2026-03-11,VARIANTE,Lechero,1,1,3.00
2026-03-11,VARIANTE,Mantequilla,1,1,4.00
2026-03-11,VARIANTE,Normal,2,2,45.00
2026-03-11,VARIANTE,Pan Grande Pieza,1,1,5.00
2026-03-11,VARIANTE,Poca leche,1,1,1.00
2026-03-11,VARIANTE,Tierno,1,1,1.00
2026-03-12,EXTRA,Bistec (1 pza.),5,5,5.00
2026-03-12,EXTRA,Huevo Revuelto (2 pzas.),2,2,2.00
2026-03-12,EXTRA,Huevo Revuelto (p/relleno),3,3,3.00
2026-03-12,EXTRA,Relleno de Guisados,1,1,1.00
2026-03-12,PETICION,Doradita,2,1,5.00
2026-03-12,PETICION,Escurrida,3,3,6.00
2026-03-12,PETICION,Sin Aguacate,2,2,2.00
2026-03-12,PETICION,Sin Crema,8,8,8.00
2026-03-12,PETICION,Sin Lechuga,4,4,5.00
2026-03-12,PETICION,Sin Tomate,2,2,2.00
2026-03-12,PETICION,Sin Verduras,1,1,1.00
2026-03-12,VARIANTE,Coca Cola,2,2,5.00
2026-03-12,VARIANTE,Coca Cola Sin Azúcar,2,2,7.00
2026-03-12,VARIANTE,Delaware,1,1,1.00
2026-03-12,VARIANTE,Escuis Fresa,1,1,1.00
2026-03-12,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-12,VARIANTE,Escuis Piña,1,1,1.00
2026-03-12,VARIANTE,Leche Aparte,1,1,1.00
2026-03-12,VARIANTE,Lechero,1,1,1.00
2026-03-12,VARIANTE,Mantequilla,1,1,2.00
2026-03-12,VARIANTE,Naturales,1,1,1.00
2026-03-12,VARIANTE,Normal,2,2,44.00
2026-03-12,VARIANTE,Pan Grande Pieza,1,1,4.00
2026-03-12,VARIANTE,Valle Frut,1,1,1.00
2026-03-13,EXTRA,Bistec (1 pza.),4,4,7.00
2026-03-13,EXTRA,Frijoles,4,2,3.00
2026-03-13,EXTRA,Huevo Estrellado Cocido (2 pzas.),2,2,2.00
2026-03-13,EXTRA,Huevo Estrellado Medio (2 pzas.),1,1,1.00
2026-03-13,EXTRA,Huevo Estrellado Tierno (2 pzas.),2,2,2.00
2026-03-13,EXTRA,Huevo Revuelto (2 pzas.),1,1,1.00
2026-03-13,EXTRA,Huevo Revuelto (p/relleno),1,1,1.00
2026-03-13,EXTRA,Queso,2,1,1.00
2026-03-13,EXTRA,Relleno de Guisados,3,3,3.00
2026-03-13,PETICION,En dos platos,1,1,1.00
2026-03-13,PETICION,Poca Lechuga,1,1,1.00
2026-03-13,PETICION,Sin Aguacate,2,2,2.00
2026-03-13,PETICION,Sin Crema,5,5,6.00
2026-03-13,PETICION,Sin Lechuga,5,5,5.00
2026-03-13,PETICION,Sin Tomate,6,6,6.00
2026-03-13,VARIANTE,Coca Cola,2,2,6.00
2026-03-13,VARIANTE,Coca Cola Sin Azúcar,2,2,3.00
2026-03-13,VARIANTE,Coca Light,1,1,1.00
2026-03-13,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-13,VARIANTE,Leche Aparte,1,1,1.00
2026-03-13,VARIANTE,Lechero,1,1,1.00
2026-03-13,VARIANTE,Mantequilla,1,1,4.00
2026-03-13,VARIANTE,Medio,1,1,1.00
2026-03-13,VARIANTE,Normal,2,2,31.00
2026-03-13,VARIANTE,Pan Grande Pieza,1,1,3.00
2026-03-14,EXTRA,Bistec (1 pza.),7,7,8.00
2026-03-14,EXTRA,Frijoles,1,1,1.00
2026-03-14,EXTRA,Huevo Estrellado Cocido (2 pzas.),4,4,4.00
2026-03-14,EXTRA,Huevo Estrellado Medio (2 pzas.),3,3,3.00
2026-03-14,EXTRA,Huevo Estrellado Tierno (2 pzas.),5,5,5.00
2026-03-14,EXTRA,Huevo Revuelto (2 pzas.),3,3,3.00
2026-03-14,EXTRA,Huevo Revuelto (p/relleno),3,3,3.00
2026-03-14,EXTRA,Queso Extra Pieza,2,1,1.00
2026-03-14,EXTRA,Relleno de Guisados,2,2,2.00
2026-03-14,PETICION,Doradita,2,2,2.00
2026-03-14,PETICION,Escurrida,4,4,6.00
2026-03-14,PETICION,Poca Lechuga,3,3,3.00
