periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2026-03,Encremadas,Encremada,ORDEN,19.00,,3675.00,3675.00,15,10,0,193.42
2023-11,Gorditas,Gordita,PIEZA,5068.00,5068.00,77303.35,77398.00,599,15,0,15.25
2024-02,1/2 Enfrijoladas,Enfrijolada,ORDEN,10.00,,800.00,800.00,9,5,4,80.00
2025-11,Pieza Enmolada,Enmolada,ORDEN,2.00,,50.00,50.00,2,0,0,25.00
2023-11,Orden Huevos Estrellados,Huevos,ORDEN,8.00,,664.00,664.00,7,0,0,83.00
2025-03,Gorditas de Azúcar,Gordita,PIEZA,42.00,42.00,1596.00,1596.00,21,0,0,38.00
2025-12,1/2 Entomatadas,Entomatada,ORDEN,124.00,,15460.00,15460.00,92,66,22,124.68
2024-02,Limón 1 Litro,Bebida,ORDEN,54.00,,2684.15,2752.00,24,0,0,49.71
2025-01,1/2 Enfrijoladas,Enfrijolada,ORDEN,19.00,,1899.00,1899.00,18,9,7,99.95
2026-05,Orden de Guisado Normal,Guarnicion,ORDEN,25.00,,3000.00,3000.00,20,19,0,120.00
2024-05,Tacos de Maiz,Taco,PIEZA,1127.00,1127.00,19372.60,19529.00,346,9,6,17.19
2024-01,Jamaica 1 Litro,Bebida,ORDEN,37.00,,1628.70,1777.00,19,0,0,44.02
2026-01,Bisquet,Otros,ORDEN,119.00,,3570.00,3570.00,29,0,0,30.00
2025-11,Huevos Rancheros,Huevos,ORDEN,37.00,,4255.00,4255.00,19,0,0,115.00
2026-08,1/2 Enchiladas Rojas,Enchilada,ORDEN,175.00,,23242.00,23242.00,142,109,75,132.81
2025-08,1/2 Encremadas,Encremada,ORDEN,41.00,,5339.00,5339.00,32,21,0,130.22
2024-05,1/2 Enmoladas,Enmolada,ORDEN,54.00,,5044.00,5051.00,45,26,16,93.41
2025-12,Orden Huevos Revueltos,Huevos,ORDEN,4.00,,460.00,460.00,4,0,0,115.00
2026-04,Bistec 1 Pza.,Otros,ORDEN,3.00,,306.00,306.00,3,0,0,102.00
2024-10,Migada Guisado de Carne,Migada,PIEZA,229.00,229.00,28798.00,28798.00,210,0,81,125.76
2025-10,1/2 Enfrijoladas,Enfrijolada,ORDEN,18.00,,2288.00,2288.00,17,12,3,127.11
2025-12,Tacos Maíz Surtidos,Taco,PIEZA,1.00,2.00,40.00,40.00,1,0,0,40.00
2025-07,Pieza Tortilla de Maíz,Guarnicion,ORDEN,7.00,,35.00,35.00,4,0,0,5.00
2026-01,Porción Frijol con Queso,Guarnicion,ORDEN,13.00,,65.00,65.00,11,0,0,5.00
2024-12,Pieza Extra Empanada,Empanada,ORDEN,8.00,,248.00,248.00,8,0,0,31.00
2025-12,Limón 1 Litro,Bebida,ORDEN,16.00,,908.00,908.00,11,0,0,56.75
2025-03,1/2 Enchiladas Rojas,Enchilada,ORDEN,211.00,,26871.00,26871.00,154,122,42,127.35
2025-08,Limón Vaso,Bebida,ORDEN,544.00,,20703.00,20703.00,28,0,0,38.06
2025-02,Ciel 600 ml.,Bebida,ORDEN,48.00,,1501.00,1501.00,21,0,0,31.27
2024-07,Limón Vaso,Bebida,ORDEN,542.00,,18263.25,18379.00,31,0,0,33.70
2024-12,Bocoles,Bocol,PIEZA,2653.00,2653.00,47886.00,47886.00,539,8,30,18.05
2023-09,Pieza Entomatada,Entomatada,ORDEN,2.00,,40.00,40.00,2,0,0,20.00
2024-08,Huevos a la Mexicana,Huevos,ORDEN,34.00,,3513.00,3513.00,23,0,0,103.32
2024-04,Café Negro,Bebida,ORDEN,179.00,,5385.00,5388.00,35,0,0,30.08
2025-04,Huevos a la Mexicana,Huevos,ORDEN,43.00,,4945.00,4945.00,20,0,0,115.00
2023-10,Encremadas,Encremada,ORDEN,23.00,,3134.00,3134.00,19,14,0,136.26
2024-06,Limón 1 Litro,Bebida,ORDEN,66.00,,3135.75,3138.00,26,0,0,47.51
2025-02,PROMO 6 surtidas,Otros,ORDEN,51.00,,4780.00,4780.00,11,0,1,93.73
2025-07,Café con Leche,Bebida,ORDEN,959.00,,33577.00,33612.00,86,0,0,35.01
2024-04,Gorditas,Gordita,PIEZA,4529.00,4529.00,68964.05,69138.80,584,11,13,15.23
2025-02,Migada Guisado de Carne,Migada,PIEZA,243.00,243.00,31657.00,31657.00,206,0,90,130.28
2024-05,Té de Manzanilla,Bebida,ORDEN,3.00,,90.00,90.00,2,0,0,30.00
2026-05,Empanadas (4 pzas.),Empanada,ORDEN,129.00,,19322.00,19322.00,127,39,35,149.78
2024-11,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,119.00,,8941.00,8941.00,53,3,31,75.13
2024-06,Bocoles Surtidos,Bocol,PIEZA,9.00,39.00,663.00,663.00,7,0,0,73.67
2023-08,Empanadas (4 pzas.),Empanada,ORDEN,7.00,,714.00,714.00,7,1,1,102.00
2024-03,Huevos con Deshebrada,Huevos,ORDEN,21.00,,1995.00,1995.00,16,0,0,95.00
2025-07,Huevos a la Mexicana,Huevos,ORDEN,40.00,,4600.00,4600.00,24,0,0,115.00
2025-01,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,6.00,,108.00,108.00,5,0,0,18.00
2025-10,Enchiladas Mixtas,Enchilada,ORDEN,28.00,,5572.00,5572.00,28,19,5,199.00
2024-12,Horchata Vaso,Bebida,ORDEN,202.00,,7141.00,7141.00,30,0,0,35.35
2026-09,Salsa Verde,Guarnicion,ORDEN,1.00,,10.00,10.00,1,0,0,10.00
2023-11,Huevos con Deshebrada,Huevos,ORDEN,13.00,,1235.00,1235.00,10,0,0,95.00
2025-02,Tacos de Maiz,Taco,PIEZA,874.00,874.00,16354.00,16354.00,304,6,0,18.71
