fecha,extra,producto,porciones,pedidos,unidades,es_segundo_guiso,grupo,agrupado,real
2024-12-11,Huevo Estrellado Cocido (2 pzas.),Enchiladas Picositas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Estrellado Cocido (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Estrellado Cocido (2 pzas.),Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Estrellado Medio (2 pzas.),Enchiladas Mixtas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Estrellado Medio (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Estrellado Medio (2 pzas.),Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-11,Huevo Revuelto (2 pzas.),1/2 Enchiladas Rojas,1,1,2.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-11,Huevo Revuelto (2 pzas.),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-11,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-11,Huevo Revuelto (p/relleno),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-11,Queso,Empanadas (4 pzas.),1,1,1.0,f,,Queso,f
2024-12-11,Relleno de Guisados,1/2 Entomatadas,2,2,2.0,f,,Relleno de Guisados,t
2024-12-12,Bistec (1 pza.),1/2 Enchiladas Picositas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-12,Bistec (1 pza.),1/2 Enmoladas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-12,Bistec (1 pza.),Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-12,Bistec (1 pza.),Encremadas,1,1,1.0,f,,Bistec (1 pza.),t
2024-12-12,Bistec (1 pza.),Entomatadas,2,2,2.0,f,,Bistec (1 pza.),t
2024-12-12,Frijoles,Bocoles,1,1,1.0,f,,Frijoles,t
2024-12-12,Frijoles,Gorditas,1,1,2.0,f,,Frijoles,t
2024-12-12,Frijoles,Tacos de Harina,1,1,1.0,f,,Frijoles,t
2024-12-12,Frijoles con Queso (guiso extra),Tacos de Harina,1,1,1.0,t,,Frijoles con Queso (guiso extra),t
2024-12-12,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Picositas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Estrellado Cocido (2 pzas.),1/2 Enchiladas Rojas,2,2,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Estrellado Cocido (2 pzas.),Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Estrellado Medio (2 pzas.),1/2 Entomatadas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Estrellado Medio (2 pzas.),Enchiladas Rojas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Estrellado Tierno (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2024-12-12,Huevo Revuelto (2 pzas.),Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2024-12-12,Huevo Revuelto (p/relleno),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-12,Huevo Revuelto (p/relleno),Encremadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2024-12-12,Queso,Empanadas (4 pzas.),2,1,1.0,f,,Queso,f
2024-12-12,Queso,Tacos de Maiz,2,2,2.0,f,,Queso,f
